region,lat,long,node_id
LADWP,33.770866485380765,-118.26535246672638,HAR_GS_LNODE2AUX
LADWP,33.77081149182394,-118.26526678898045,HAR_GS_LNODE5AUX
LADWP,33.77073997374512,-118.26520109800134,HAR_SUB_LNODEONA
LADWP,33.77065707494083,-118.26515900180253,HAR_SUB_LNODEONB
LADWP,33.77056816417163,-118.26514234955445,HAR_SUB_LNODEONC
CA,36.55679,-121.89716266,HATTON_6_N001
CA,39.565556,-120.63388966,HAYPRES_7_B1
LADWP,33.764741,-118.0991366,HAY_GS_GNODE1
LADWP,33.7647409999528,-118.09902176748359,HAY_GS_GNODE1
LADWP,33.7646510233777,-118.09902176759722,HAY_GS_GNODE1
LADWP,33.764587400374495,-118.09909829948671,HAY_GS_GNODE1
LADWP,33.764572185138995,-118.0992049730945,HAY_GS_GNODE1
LADWP,33.76460334866309,-118.09930650635637,HAY_GS_GNODE1
LADWP,33.76466897027642,-118.09938055613436,HAY_GS_GNODE1
LADWP,33.76475400593724,-118.09941592865536,HAY_GS_GNODE1
LADWP,33.76484384813419,-118.09941001562042,HAY_GS_GNODE2
LADWP,33.764926149857054,-118.09936627556547,HAY_GS_GNODE8
LADWP,33.764991623892776,-118.09929203672729,HAY_GS_GNODE9
LADWP,33.765034221459466,-118.09919670179296,HAY_GS_LNODE10AUX
LADWP,33.76505094051277,-118.09909035381169,HAY_GS_LNODE12AUX
LADWP,33.765041426041684,-118.09898272772844,HAY_GS_LNODE14AUX
LADWP,33.7650074696504,-118.09888249826136,HAY_GS_LNODE15AUX
LADWP,33.7649524793399,-118.09879683143039,HAY_GS_LNODE9AUX
LADWP,33.76488096548275,-118.09873114881995,HAY_LNODESS1
LADWP,33.76479807157197,-118.09868905798393,HAY_LNODESS2
CA,36.59125582651913,-120.17501266,HELMS1_7_B1
CA,36.59117508672632,-120.17495394221808,HELMS2_7_B1
CA,36.59117508672632,-120.17507005778192,HELMS3_7_B1
CA,36.24160599998715,-119.90299651050016,HENRITTA_6_N101
CA,37.816383,-121.58617666,HERDLYN_6_N001
CA,37.794695,-121.58457866,HERDLYN_6_N007
PGE,45.500689999982185,-122.41430413016627,HGNN_LNODEWR1
PGE,45.500689999982185,-122.41443186983373,HGNN_LNODEWR2
PGE,45.50030999998222,-122.41486813057156,HGNS_LNODEWR4
PGE,45.50030999998222,-122.41499586942845,HGNS_LNODEWR5
CA,37.234159254320986,-121.90015163922018,HICKS_2_N001
CA,37.23397874557105,-121.90015163949167,HICKS_2_N002
CA,37.23397874557105,-121.90037836050841,HICKS_2_N007
CA,37.234159254320986,-121.90037836077984,HICKS_2_N012
CA,34.145263999987954,-116.18586145110677,HIDESERT_2_N001
CA,34.145263999987954,-116.18597054889322,HIDESERT_2_N018
CA,39.043590575891166,-121.09071766620363,HIGGINS_1_N001
CA,39.04341142399536,-121.09071766649616,HIGGINS_1_N002
CA,39.04341142399536,-121.0909483335039,HIGGINS_1_N004
CA,39.043590575891166,-121.09094833379639,HIGGINS_1_N007
CA,38.93741777608508,-122.60903466,HIGHLD_1_N001
CA,38.937337111942234,-122.60897412672412,HIGHLD_1_N004
CA,38.937337111942234,-122.60909387327588,HIGHLD_1_N005
CA,38.166048151820924,-122.25361666,HIGHWAY_1_N001
CA,38.16596692407439,-122.25355635179835,HIGHWAY_1_N002
CA,38.16596692407439,-122.25367564820166,HIGHWAY_1_N003
CA,38.15001,-121.81201866,HIGHWNDS_7_B1
CA,34.00858418970378,-117.94966020050667,HILLGEN_7_B1
CA,37.536271,-122.32239466,HILLSDLE_6_N001
CA,37.879999999986126,-122.23994272916374,HILLSIDE_1_N001
CA,37.879999999986126,-122.24005727083626,HILLSIDE_1_N004
CA,33.81885999995258,-118.2223656400578,HINSON_6_N001
CA,35.508889,-119.03083366,HISIERRA_7_B1
PGE,45.52144599998219,-122.99286410773334,HLBR_LNODEBR1
PGE,45.52144599998219,-122.99299189226667,HLBR_LNODEBR2
PGE,44.902958,-123.01689166,HLCR_LNODEWR1
CA,37.46874323375435,-122.4301866,HLFMNBY_6_N002
